City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,19.45,61,40,6.69,US,1717952535
1,albany,42.6001,-73.9662,17.6,86,89,0.45,US,1717952450
2,bodo,67.28,14.405,17.02,48,0,6.17,NO,1717952946
3,west island,-12.1568,96.8225,26.99,78,40,2.57,CC,1717952834
4,sandnessjoen,66.0217,12.6316,19.29,55,0,4.63,NO,1717952946
5,malabar,-33.9667,151.25,11.74,74,0,4.63,AU,1717952946
6,puerto natales,-51.7236,-72.4875,-0.75,100,100,1.03,CL,1717952796
7,lemmer,52.8462,5.7091,14.97,57,70,3.58,NL,1717952915
8,avarua,-21.2078,-159.775,21.03,60,40,1.54,CK,1717952775
9,magistral'nyy,56.1725,107.4458,12.43,52,100,1.07,RU,1717952946
10,bredasdorp,-34.5322,20.0403,11.02,89,5,2.4,ZA,1717952912
11,vuktyl,63.8567,57.3094,16.73,74,95,4.92,RU,1717952947
12,belmonte,-15.8631,-38.8828,24.74,84,36,5.01,BR,1717952947
13,huarmey,-10.0681,-78.1522,20.71,73,61,4.33,PE,1717952947
14,port-aux-francais,-49.35,70.2167,6.72,98,100,17.72,TF,1717952769
15,kapuskasing,49.4169,-82.4331,6.49,96,100,4.63,CA,1717952875
16,kongolo,-5.3833,27.0,25.67,35,43,1.53,CD,1717952947
17,twin falls,42.3505,-114.6445,24.19,38,0,3.09,US,1717952844
18,lompoc,34.6391,-120.4579,20.38,72,0,3.6,US,1717952602
19,as sulayyil,20.4607,45.5779,39.14,7,0,5.39,SA,1717952947
20,vorgashor,67.5833,63.95,2.11,96,100,4.14,RU,1717952948
21,margaret river,-33.95,115.0667,15.46,61,100,12.23,AU,1717952802
22,lerwick,60.1545,-1.1494,11.0,79,99,9.77,GB,1717952948
23,yellowknife,62.456,-114.3525,12.45,69,75,4.63,CA,1717952487
24,edinburgh of the seven seas,-37.0676,-12.3116,14.24,83,100,8.23,SH,1717952792
25,iqaluit,63.7506,-68.5145,4.83,52,45,4.92,CA,1717952812
26,heinola,61.2056,26.0381,11.11,78,86,2.77,FI,1717952948
27,ad dujayl,33.8467,44.2344,39.12,9,16,4.13,IQ,1717952666
28,bilibino,68.0546,166.4372,6.13,61,3,1.43,RU,1717952853
29,port alfred,-33.5906,26.891,16.28,65,0,2.55,ZA,1717952544
30,santarem,-2.4431,-54.7083,30.07,74,40,4.12,BR,1717952948
31,nishinomiya-hama,34.7167,135.3333,18.67,94,100,3.41,JP,1717952949
32,tshikapa,-6.4167,20.8,27.07,24,59,1.62,CD,1717952949
33,torredembarra,41.1451,1.3986,28.26,42,20,7.72,ES,1717952949
34,thompson,55.7435,-97.8558,11.09,35,20,1.54,CA,1717952490
35,chatham,51.3789,0.5279,16.83,46,80,2.24,GB,1717952689
36,puerto ayora,-0.7393,-90.3518,27.98,91,45,0.45,EC,1717952924
37,ambo,-10.1308,-76.2047,23.89,32,100,3.29,PE,1717952949
38,lebu,-37.6167,-73.65,12.96,85,49,7.41,CL,1717952812
39,acapulco de juarez,16.8634,-99.8901,29.9,70,0,5.66,MX,1717952949
40,margate,51.3813,1.3862,17.39,58,70,3.58,GB,1717952949
